uloha_1 a),uloha_1 b)_prior,skupina,uloha_1 b)_pozorování
1,"5,8791433577",8,"2,9949034274"
2,"3,197538517",8,"2,858546395"
2,"3,0037190296",8,"1,8668963689"
2,"3,2948053776",8,"4,1741825381"
1,"2,3406561937",8,"3,0258194543"
2,"3,1490224083",8,"3,9103169613"
2,"2,2291823574",9,"4,0157656895"
1,"1,7856788332",9,"3,1689637474"
0,"3,7911937539",9,"1,3566906806"
1,"3,3727890804",9,"3,0193985866"
1,"1,9531668354",9,"2,2366119662"
3,"5,6768602321",9,"3,4389334683"
0,"3,098409672",9,"3,4309726268"
3,"1,4317431768",9,"3,7273057081"
1,"2,7839348789",9,"4,2579087502"
1,"2,9547228538",9,"2,0816790646"
,"4,0072885725",10,
,"3,7593693695",10,
,"1,4904200124",10,
,"3,4200152473",10,
,"3,4246039398",10,
,"2,9585159651",10,
,"4,0745169472",10,
,"4,497779989",10,
,"4,2999375307",10,
,"3,4065900141",10,
,"1,4785175627",11,
,"4,9919487682",11,
,"4,8473671494",11,
,"1,9843767505",11,
,"3,4755065408",11,
,"1,9969454583",11,
,"2,406073089",11,
,"3,6684307163",11,
,"3,4812069235",11,
,"1,7205681847",11,
,"4,5157844257",12,
,"3,9049202037",12,
,"3,0361778383",12,
,"3,0392532698",12,
,"1,878303249",12,
,"4,0806895923",12,
,"4,5808279349",12,
,"3,4094136672",12,
,"4,1459503552",12,
,"3,4798467373",12,
,"3,0802286531",13,
,"1,4814685537",13,
,"3,9821645075",13,
,"2,6888923722",13,
,"2,2319316958",13,
,"3,4916706115",13,
,"2,3602047595",13,
,"3,2864555796",13,
,"3,210887525",13,
,"1,3041742985",13,
,"4,6847804849",14,
,"2,9557688232",14,
,"3,1840181424",14,
,"5,8603563037",14,
,"3,8389046801",14,
,"2,3436550862",14,
,"4,1859479384",14,
,"4,5960446369",14,
,"2,3636559529",14,
,"2,6392186453",14,
,"1,5226737117",15,
,"2,5371766171",15,
,"2,6851655113",15,
,"2,9969779614",15,
,"4,5119697309",15,
,"2,0001776645",15,
,"2,4730270079",15,
,"4,5335495436",15,
,"3,4516342521",15,
,"4,8145844967",15,
,"3,5703302416",16,
,"2,9556492135",16,
,"3,0823833417",16,
,"3,2013342019",16,
,"3,7315587491",16,
,"4,0906433243",16,
,"1,9614408269",16,
,"3,9300931636",16,
,"2,0002954816",16,
,"4,8226263161",16,
,"3,3860462046",17,
,"1,8940558434",17,
,"4,5982600048",17,
,"3,8446651435",17,
,"1,9993569557",17,
,"3,782875124",17,
,"3,9406881165",17,
,"2,9275766655",17,
,"2,0550775187",17,
,"4,1270001396",17,
,"3,533999383",18,
,"1,8019563751",18,
,"2,9455896983",18,
,"4,1901153107",18,
,"2,975508236",18,
,"3,1749522712",18,
,"3,9567779576",18,
,"3,9181988653",18,
,"2,2714491182",18,
,"4,4908736343",18,
,"1,7854582125",19,
,"5,1147277266",19,
,"3,5209842812",19,
,"4,5113277148",19,
,"1,9273974952",19,
,"1,5338755587",19,
,"4,3808010507",19,
,"3,5889082989",19,
,"4,4322505351",19,
,"3,2294656",19,
,"5,3455572681",20,
,"3,3054825887",20,
,"3,2941044249",20,
,"3,9174188582",20,
,"4,615826852",20,
,"3,929473911",20,
,"2,9092152954",20,
,"3,8582962193",20,
,"2,3549229819",20,
,"4,1408223164",20,
,"1,6044589254",21,
,"4,3245253559",21,
,"3,1278590161",21,
,"2,2303927081",21,
,"3,373534784",21,
,"4,0312317058",21,
,"3,7391539619",21,
,"2,370118548",21,
,"4,4490534567",21,
,"2,9912822576",21,
,"3,3697658346",22,
,"2,8844989815",22,
,"2,5229262694",22,
,"2,6385858038",22,
,"2,9546596774",22,
,"3,7767131841",22,
,"4,3249751423",22,
,"3,3326430652",22,
,"4,9181970979",22,
,"5,3496810343",22,
,"2,3494578358",23,
,"3,9889798014",23,
,"3,4693628203",23,
,"2,114771248",23,
,"5,4687402854",23,
,"4,1518303262",23,
,"3,9273199839",23,
,"3,8718437319",23,
,"1,5078674289",23,
,"3,3625342416",23,
,"3,7555578035",24,
,"2,4957285213",24,
,"3,9708180658",24,
,"3,6195191759",24,
,"2,5341794262",24,
,"3,1989305776",24,
,"4,6667703978",24,
,"3,2271596864",24,
,"4,4360985557",24,
,"4,9538729871",24,
,"3,5486121181",25,
,"3,5030918554",25,
,"3,3464876856",25,
,"5,0368663657",25,
,"2,2991892133",25,
,"4,5002365671",25,
,"3,2265122089",25,
,"4,2120699541",25,
,"5,2054285878",25,
,"2,6094159087",25,
,"3,3870093998",26,
,"1,9243693774",26,
,"5,0192179971",26,
,"4,3864714907",26,
,"2,9693376105",26,
,"3,3909348112",26,
,"4,0102878233",26,
,"1,5205630037",26,
,"2,6819148631",26,
,"4,3607007762",26,
,"2,6775496782",27,
,"2,2852842985",27,
,"3,9992435043",27,
,"2,8654470844",27,
,"3,3430068453",27,
,"4,5710049961",27,
,"2,6551652672",27,
,"3,5405012511",27,
,"5,2761746079",27,
,"3,7060494642",27,
,"3,055165619",28,
,"3,8443365513",28,
,"4,4173197989",28,
,"1,7717360324",28,
,"4,1456135515",28,
,"4,805762572",28,
,"2,6418974932",28,
,"3,3415606666",28,
,"4,3223225009",28,
,"2,537430353",28,
,"4,4259539532",29,
,"4,4962321185",29,
,"3,5015426085",29,
,"2,9848030452",29,
,"1,6773666057",29,
,"3,2682725411",29,
,"4,2095314976",29,
,"2,630136772",29,
,"2,0461290098",29,
,"3,025383971",29,
,"3,7624376835",30,
,"4,2898830731",30,
,"2,1429767848",30,
,"3,4580746787",30,
,"2,8033122039",30,
,"3,6696203531",30,
,"3,128692962",30,
,"2,3902248915",30,
,"2,9629866948",30,
,"2,4720036122",30,
,"4,190075939",31,
,"2,9882212649",31,
,"2,319796166",31,
,"3,7820773591",31,
,"4,4231458931",31,
,"3,4229337939",31,
,"1,4625811606",31,
,"2,3723923336",31,
,"3,0370714197",31,
,"2,1458118919",31,
,"3,5899364491",32,
,"2,3843883891",32,
,"4,8838501039",32,
,"3,4042544705",32,
,"1,9985904876",32,
,"1,5562297709",32,
,"4,1682164945",32,
,"4,3249635247",32,
,"4,8493523525",32,
,"2,9642469212",32,
,"3,8028142976",33,
,"2,9729781505",33,
,"3,7370438076",33,
,"3,8328398238",33,
,"4,5468479199",33,
,"2,2650562911",33,
,"3,3882555121",33,
,"3,4888821346",33,
,"3,661889632",33,
,"5,2604473677",33,
,"2,8798928058",34,
,"4,5743802116",34,
,"2,4400443368",34,
,"3,712899606",34,
,"4,2781331582",34,
,"2,1229901983",34,
,"2,535224354",34,
,"4,1264663559",34,
,"4,5004797229",34,
,"2,0636886623",34,
,"4,4449281593",35,
,"2,8512628753",35,
,"3,1987306414",35,
,"3,9264033373",35,
,"1,6175607001",35,
,"2,8157448451",35,
,"2,9753104539",35,
,"2,3979740612",35,
,"2,1448697595",35,
,"3,9687578322",35,
,"3,7629734959",36,
,"4,9846222191",36,
,"1,8916225053",36,
,"1,6258336379",36,
,"4,1057502258",36,
,"5,3609491949",36,
,"2,270784231",36,
,"4,2482011159",36,
,"4,4134376148",36,
,"4,3669240397",36,
,"5,7276426102",37,
,"2,4237855105",37,
,"1,3774047667",37,
,"3,6107940845",37,
,"4,0949575691",37,
,"3,6603596142",37,
,"3,4011535649",37,
,"5,4099808962",37,
,"4,5045916177",37,
,"4,0666076863",37,
,"5,1536001271",38,
,"2,4822876257",38,
,"5,6279459312",38,
,"1,5651934207",38,
,"3,4635008715",38,
,"3,1190223994",38,
,"3,6016388378",38,
,"4,9928922296",38,
,"3,3768077018",38,
,"5,1356997248",38,
,"3,1009890788",39,
,"4,3515927224",39,
,"3,1765003279",39,
,"2,8201860565",39,
,"3,9232974919",39,
,"3,1577466345",39,
,"4,6995211822",39,
,"3,2681374688",39,
,"3,5086744222",39,
,"4,1386045949",39,
,"4,2585220186",40,
,"2,6911094829",40,
,"3,2413638068",40,
,"2,586320413",40,
,"3,1645760086",40,
,"3,8896012446",40,
,"6,1742122069",40,
,"3,6885145952",40,
,"2,7613746774",40,
,"5,360948737",40,
,"4,9710154236",41,
,"3,5515162355",41,
,"3,5548359158",41,
,"4,6453203139",41,
,"1,7952598514",41,
,"2,3058974474",41,
,"2,9643782452",41,
,"2,4724277427",41,
,"3,6448204632",41,
,"2,1583682496",41,
,"2,6384247493",42,
,"3,4380415363",42,
,"7,1739841037",42,
,"2,5661654331",42,
,"5,1174161078",42,
,"5,5508478747",42,
,"3,919259631",42,
,"3,2472699416",42,
,"3,9886959802",42,
,"3,2256660935",42,
,"2,0994463873",43,
,"3,1091644011",43,
,"3,2158479107",43,
,"4,4448603083",43,
,"2,0905346907",43,
,"4,2854281875",43,
,"3,7065812555",43,
,"2,9027368066",43,
,"2,3766909738",43,
,"3,6305199414",43,
,"3,2569446786",44,
,"3,619304922",44,
,"3,0365684095",44,
,"3,9055783383",44,
,"3,5976207891",44,
,"3,0571856649",44,
,"3,1967185785",44,
,"2,5077784722",44,
,"2,8906775931",44,
,"3,1137027445",44,
,"3,3330813038",45,
,"4,6349490862",45,
,"3,56821345",45,
,"3,203669281",45,
,"2,8004375306",45,
,"2,4619823365",45,
,"4,9995962103",45,
,"3,2881109172",45,
,"3,1866508049",45,
,"3,2634716252",45,
,"5,0088183562",46,
,"3,73770027",46,
,"5,3357937254",46,
,"4,0760679373",46,
,"3,2457904888",46,
,"3,7912080247",46,
,"4,1739869734",46,
,"3,1926581899",46,
,"2,9006274515",46,
,"4,1892848131",46,
,"2,6716447115",47,
,"4,4706806671",47,
,"3,6728172278",47,
,"2,571657226",47,
,"3,8598345438",47,
,"2,4096430968",47,
,"5,383841642",47,
,"1,7931207466",47,
,"1,6999907527",47,
,"1,2976423301",47,
,"4,8744405133",48,
,"5,0912218174",48,
,"2,1453995394",48,
,"3,5623133001",48,
,"3,1767423988",48,
,"3,3475789565",48,
,"4,5602179312",48,
,"4,0703888979",48,
,"2,9835119762",48,
,"3,0128895408",48,
,"4,0796373378",49,
,"2,0412041957",49,
,"2,5757825496",49,
,"3,3426518173",49,
,"3,6102408501",49,
,"4,7279825897",49,
,"2,23778269",49,
,"2,5849780401",49,
,"4,0453962641",49,
,"3,3293519398",49,
,"3,0612255659",50,
,"4,1711155072",50,
,"2,9689188686",50,
,"3,7890903202",50,
,"5,0279230885",50,
,"3,2160354478",50,
,"2,1042183736",50,
,"3,3127647305",50,
,"2,4568047173",50,
,"3,9344803276",50,
,"2,0333926908",51,
,"1,6241239338",51,
,"2,7232654908",51,
,"3,9757546883",51,
,"2,8081884193",51,
,"3,8898289344",51,
,"2,7484957582",51,
,"4,9055779078",51,
,"3,9015516764",51,
,"4,1674057274",51,
,"4,3972032327",52,
,"3,8233519751",52,
,"2,7811687678",52,
,"3,1269992235",52,
,"4,7340405475",52,
,"3,1247341624",52,
,"1,7118619704",52,
,"3,6385923485",52,
,"3,1938904221",52,
,"3,5590050199",52,
,"2,9600617873",53,
,"2,8542565769",53,
,"3,5700585619",53,
,"3,3173287128",53,
,"3,0726838705",53,
,"3,7419288262",53,
,"2,9453220032",53,
,"3,4460652788",53,
,"4,6490319706",53,
,"4,3329876583",53,
,"2,4691909349",54,
,"2,0132594592",54,
,"5,8116857153",54,
,"4,6755222235",54,
,"4,2445280833",54,
,"3,221779879",54,
,"2,1793868118",54,
,"3,3086459258",54,
,"2,3461039734",54,
,"2,8588775701",54,
,"3,7347967915",55,
,"3,0483801974",55,
,"2,1219787134",55,
,"3,2201004361",55,
,"3,7131079791",55,
,"3,1840616226",55,
,"5,2578096565",55,
,"2,9570511068",55,
,"3,9355513363",55,
,"5,1259415879",55,
,"2,8321403105",56,
,"4,1022812055",56,
,"3,8574698637",56,
,"1,7952966201",56,
,"4,3283540606",56,
,"2,0251655641",56,
,"3,3010748037",56,
,"3,273891212",56,
,"3,9016800716",56,
,"2,9483969492",56,
,"2,6308122481",57,
,"4,9777835745",57,
,"3,9931565493",57,
,"1,9078284249",57,
,"1,7907211955",57,
,"5,9027930763",57,
,"2,5975638195",57,
,"2,0601629702",57,
,"3,2169749435",57,
,"5,2415694479",57,
,"3,8174037234",58,
,"2,8676228",58,
,"4,534166777",58,
,"2,945137452",58,
,"2,9146347952",58,
,"3,2704044599",58,
,"4,5188975285",58,
,"3,712798808",58,
,"1,7933254535",58,
,"5,6021263798",58,
,"3,2719639379",59,
,"3,2376515507",59,
,"2,7760766252",59,
,"3,8382481722",59,
,"3,8289218772",59,
,"3,4253509225",59,
,"2,8714654084",59,
,"3,9547766512",59,
,"3,6004618524",59,
,"4,0755556287",59,
,"3,6286070158",60,
,"2,9051691053",60,
,"2,5834900949",60,
,"6,3174418765",60,
,"2,8706191768",60,
,"5,9777410845",60,
,"2,8466233596",60,
,"3,7931030228",60,
,"5,7035387602",60,
,"3,4246400287",60,
,"4,5737241143",61,
,"1,9278622876",61,
,"2,8197157606",61,
,"1,8694046459",61,
,"5,6605186448",61,
,"4,5323960252",61,
,"2,6569127853",61,
,"1,5308262288",61,
,"2,54006034",61,
,"3,2744353956",61,
,"3,9281981599",62,
,"2,8009144597",62,
,"3,5453281209",62,
,"1,2487286694",62,
,"2,2677050238",62,
,"4,1714785901",62,
,"3,7873688765",62,
,"4,5346408282",62,
,"6,0666228584",62,
,"2,0236935733",62,
,"2,7061299535",63,
,"4,0376518441",63,
,"2,4944545828",63,
,"4,4992560468",63,
,"3,7691664443",63,
,"4,8755157131",63,
,"5,7059857913",63,
,"3,4549386816",63,
,"3,4656801042",63,
,"3,0157049437",63,
,"4,783001228",64,
,"5,0808797215",64,
,"5,4029821763",64,
,"3,3044732775",64,
,"3,0747067783",64,
,"2,9514904575",64,
,"3,2644417376",64,
,"2,8614658082",64,
,"4,9874492896",64,
,"2,7401576259",64,
,"3,0434136393",65,
,"3,7531575042",65,
,"5,5896946437",65,
,"3,5475998433",65,
,"2,7186837157",65,
,"3,8306361831",65,
,"4,7114404107",65,
,"3,9873365022",65,
,"2,351227965",65,
,"2,8377457976",65,
,"3,9115664798",66,
,"4,8294125487",66,
,"2,2424494127",66,
,"2,9794266568",66,
,"2,7328854833",66,
,"3,8026888103",66,
,"2,8526522779",66,
,"1,2888593448",66,
,"4,0417486315",66,
,"2,277816771",66,
,"6,6296925621",67,
,"4,5704177274",67,
,"2,2419694796",67,
,"2,5666030809",67,
,"3,3690796447",67,
,"4,2272305222",67,
,"4,1060208224",67,
,"4,3340203036",67,
,"3,6522151373",67,
,"2,2459706019",67,
,"1,9673065431",68,
,"5,0991671619",68,
,"4,8890930222",68,
,"1,4860804169",68,
,"1,3684651473",68,
,"3,8237765646",68,
,"3,5991046745",68,
,"5,3045290407",68,
,"4,8851663122",68,
,"3,7726695948",68,
,"3,8092402445",69,
,"3,5467556929",69,
,"4,1866137428",69,
,"2,2641020158",69,
,"3,7718909185",69,
,"3,9623303517",69,
,"2,3632638285",69,
,"4,4972405578",69,
,"3,2918017622",69,
,"3,3916969866",69,
,"3,9025971196",70,
,"3,8493343903",70,
,"2,5490071397",70,
,"3,1529458969",70,
,"2,5407929457",70,
,"4,3138988932",70,
,"4,0613927777",70,
,"2,7216534826",70,
,"2,8356469787",70,
,"2,1352915167",70,
,"3,111050439",71,
,"2,6782287454",71,
,"2,2122878774",71,
,"3,1886778775",71,
,"3,4790542038",71,
,"3,0453164996",71,
,"1,793420429",71,
,"2,4877173486",71,
,"4,0966204298",71,
,"5,472305427",71,
,"2,276203136",72,
,"2,1969363355",72,
,"1,9923917538",72,
,"3,4643910379",72,
,"1,8062011041",72,
,"5,3398662006",72,
,"3,8768919193",72,
,"4,3247831855",72,
,"1,9684930217",72,
,"3,6398161205",72,
,"2,6382169433",73,
,"1,7841450286",73,
,"4,5694564396",73,
,"2,5112029022",73,
,"2,9978944964",73,
,"3,5963479439",73,
,"4,0556173194",73,
,"2,8606076994",73,
,"3,7232339919",73,
,"1,8250389432",73,
,"4,9490932854",74,
,"3,8105259389",74,
,"4,456490475",74,
,"5,4814100895",74,
,"4,222631564",74,
,"2,4915454287",74,
,"3,9842636017",74,
,"3,3632069505",74,
,"2,7554609431",74,
,"5,4561723781",74,
,"4,1978344797",75,
,"3,1390521309",75,
,"2,9001635417",75,
,"2,9172823452",75,
,"3,7567724417",75,
,"5,3637637526",75,
,"4,5963430047",75,
,"5,6306578618",75,
,"4,9059331204",75,
,"4,5779928615",75,
,"2,3546836324",76,
,"1,7913702753",76,
,"3,9293808793",76,
,"1,8974666893",76,
,"2,7602897102",76,
,"2,2872263044",76,
,"3,8312364774",76,
,"1,4192413971",76,
,"3,2734475871",76,
,"3,9608055836",76,
,"5,6414304487",77,
,"3,7242043421",77,
,"2,1802942704",77,
,"2,1238183949",77,
,"3,1425605692",77,
,"3,766318501",77,
,"2,7405957343",77,
,"1,7953422439",77,
,"3,2113280166",77,
,"3,4433141396",77,
,"2,6780092067",78,
,"2,6497509665",78,
,"1,5970687673",78,
,"2,1948436994",78,
,"4,3595794605",78,
,"4,8520101881",78,
,"3,0959512198",78,
,"1,8035296668",78,
,"3,1051642123",78,
,"3,8604723257",78,
,"4,6957794897",79,
,"4,1694908454",79,
,"4,2814935455",79,
,"6,1578996146",79,
,"3,3550957641",79,
,"3,4382124992",79,
,"2,6417209826",79,
,"1,542647872",79,
,"2,8434199936",79,
,"3,3438489826",79,
,"1,3114007939",80,
,"4,0813464084",80,
,"4,8392328377",80,
,"3,6923282848",80,
,"2,6716376183",80,
,"6,4786973004",80,
,"3,5727288404",80,
,"5,3679607297",80,
,"5,4011653307",80,
,"4,8959179406",80,
,"4,3041153067",81,
,"4,3365915231",81,
,"3,244341783",81,
,"2,91100727",81,
,"2,701704593",81,
,"2,9686383987",81,
,"2,938427578",81,
,"2,9868759633",81,
,"2,878554567",81,
,"4,5403037767",81,
,"2,9305278756",82,
,"4,8826889684",82,
,"3,8644625065",82,
,"3,0110538165",82,
,"3,1839163791",82,
,"3,6155454609",82,
,"6,1647565996",82,
,"4,7956987782",82,
,"1,8645490742",82,
,"3,5196796263",82,
,"2,586142042",83,
,"1,3199561906",83,
,"3,0485597394",83,
,"4,1009117131",83,
,"3,0650102692",83,
,"2,4211820815",83,
,"2,6132852652",83,
,"3,2936315829",83,
,"3,9073111283",83,
,"2,0971735166",83,
,"4,4034180075",84,
,"4,8018443288",84,
,"4,0324422716",84,
,"2,9660599828",84,
,"4,5175537938",84,
,"2,9602195544",84,
,"2,8244868387",84,
,"3,5871489237",84,
,"4,1747809834",84,
,"5,8247957329",84,
,"5,2643244029",85,
,"1,550925786",85,
,"4,0778782386",85,
,"5,2512872094",85,
,"2,9905214221",85,
,"3,6897615001",85,
,"4,3518067448",85,
,"3,5033008197",85,
,"4,6728468133",85,
,"2,322052871",85,
,"3,7028108177",86,
,"1,4817207709",86,
,"3,1715329612",86,
,"3,8923166793",86,
,"3,1397694637",86,
,"2,0424433466",86,
,"4,8915869488",86,
,"3,14449348",86,
,"2,4471589689",86,
,"4,8658708786",86,
,"3,4630438468",87,
,"2,956655228",87,
,"3,7445322282",87,
,"4,1442765057",87,
,"4,1723148174",87,
,"3,6758873959",87,
,"5,264899086",87,
,"2,8118544198",87,
,"5,8129890428",87,
,"3,0389506189",87,
,"5,059800569",88,
,"3,5655556342",88,
,"4,6210337799",88,
,"2,5143130041",88,
,"3,359722612",88,
,"4,3439133583",88,
,"5,0203126865",88,
,"3,4095721486",88,
,"2,8549971908",88,
,"3,0208162684",88,
,"2,6236415794",89,
,"2,0345549794",89,
,"4,3945085389",89,
,"6,1293260297",89,
,"1,6369854995",89,
,"3,9342203473",89,
,"2,9491089779",89,
,"5,9267637721",89,
,"3,8681479704",89,
,"3,1046643216",89,
,"3,6617064585",90,
,"2,6878590528",90,
,"3,4977463207",90,
,"3,7601947079",90,
,"5,0867694848",90,
,"3,7290297361",90,
,"2,3713471788",90,
,"1,4583776572",90,
,"3,13259389",90,
,"3,8905435695",90,
,"4,5159325673",91,
,"2,7696689461",91,
,"3,6740418335",91,
,"3,7732713956",91,
,"1,5258934001",91,
,"4,8302637586",91,
,"5,2328993646",91,
,"2,7155042431",91,
,"3,3799596279",91,
,"2,6856798961",91,
,"2,2769848802",92,
,"2,9898056163",92,
,"4,2275770446",92,
,"2,9334362871",92,
,"5,5124303226",92,
,"2,2699384567",92,
,"2,2413279045",92,
,"3,8810287399",92,
,"5,1883935982",92,
,"2,5420764289",92,
,"4,4018369663",93,
,"4,5525100834",93,
,"3,3604585765",93,
,"3,668977306",93,
,"5,3629704163",93,
,"4,6126271723",93,
,"2,936138033",93,
,"4,740111409",93,
,"4,5199023374",93,
,"4,0259006526",93,
,"3,3400724057",94,
,"3,3154696264",94,
,"4,0035721072",94,
,"2,8354744506",94,
,"3,457257064",94,
,"3,4827437625",94,
,"3,7573488783",94,
,"3,7105583176",94,
,"5,2723648389",94,
,"4,9407769359",94,
,"3,8972612681",95,
,"4,8897534099",95,
,"2,8170468982",95,
,"4,3249824546",95,
,"2,7424305639",95,
,"2,4162270072",95,
,"3,2151107959",95,
,"4,6013434025",95,
,"4,0139925837",95,
,"3,6744181969",95,
,"4,1413373936",96,
,"3,2997853706",96,
,"2,4435311495",96,
,"2,5882171154",96,
,"2,5082321517",96,
,"3,7695603421",96,
,"3,1862278975",96,
,"5,7157914241",96,
,"4,3834597799",96,
,"3,9583879945",96,
,"3,3114956882",97,
,"5,0181786393",97,
,"1,867467389",97,
,"3,0379829791",97,
,"1,7813168884",97,
,"3,6821634238",97,
,"4,7507791915",97,
,"3,0170803736",97,
,"2,1981043266",97,
,"3,1386276589",97,
,"3,5118849041",98,
,"3,7911873688",98,
,"2,3167885124",98,
,"3,5114106546",98,
,"4,806494865",98,
,"4,7976653766",98,
,"5,2817854374",98,
,"2,5993789424",98,
,"3,3231202756",98,
,"4,9306975388",98,
,"3,1908847788",99,
,"4,2201198017",99,
,"2,3504865193",99,
,"4,9974941131",99,
,"4,465344143",99,
,"1,6652952479",99,
,"2,3985818525",99,
,"2,649019918",99,
,"3,7120839499",99,
,"2,5021984181",99,
,"5,2514040877",100,
,"3,0527937963",100,
,"2,8709004693",100,
,"3,4807848285",100,
,"2,2957223833",100,
,"3,3134072451",100,
,"2,3912375898",100,
,"2,8519159993",100,
,"4,5396297248",100,
,"3,4155120131",100,
,"2,3943942008",101,
,"3,7590243577",101,
,"1,5186543237",101,
,"3,733768956",101,
,"2,3762930902",101,
,"4,4094377019",101,
,"2,1756786204",101,
,"3,4820033339",101,
,"3,3289193182",101,
,"1,9872238535",101,
,"4,1641474556",102,
,"2,9417259426",102,
,"4,1473877702",102,
,"4,9783441512",102,
,"4,2294144359",102,
,"4,4809434273",102,
,"1,7949509255",102,
,"1,6524192285",102,
,"2,9828782504",102,
,"1,3135955025",102,
,"3,9718651234",103,
,"3,6592383827",103,
,"2,7169680022",103,
,"3,3338062273",103,
,"1,4596811004",103,
,"4,7362098612",103,
,"3,4329927769",103,
,"3,5837066971",103,
,"4,3007152814",103,
,"4,3841652541",103,
,"2,879740895",104,
,"4,3801467208",104,
,"2,7736599958",104,
,"4,5385959779",104,
,"4,1887136084",104,
,"4,7772397828",104,
,"3,7410908305",104,
,"4,0873617994",104,
,"4,6578017168",104,
,"3,8394544035",104,
,"2,4239908095",105,
,"5,4548829677",105,
,"2,6899294454",105,
,"3,4380101823",105,
,"1,9482229122",105,
,"3,0563491",105,
,"4,3216412685",105,
,"3,7846222348",105,
,"3,4821762299",105,
,"4,3770272093",105,
,"4,9861423134",106,
,"4,8294678985",106,
,"5,5149480928",106,
,"5,8857412323",106,
,"3,7909081444",106,
,"5,0124425025",106,
,"3,0663986232",106,
,"5,8829640896",106,
,"5,5616474103",106,
,"1,5759354382",106,
,"3,5697264087",107,
,"1,9219055373",107,
,"1,2995021569",107,
,"4,7088347309",107,
,"4,2253019804",107,
,"2,753605885",107,
,"2,7025558442",107,
,"3,2231847574",107,
,"4,1297813508",107,
,"3,7670891153",107,
,"4,322458088",108,
,"1,5524166069",108,
,"1,9835475833",108,
,"4,6459750716",108,
,"4,8681778392",108,
,"2,2740605401",108,
,"4,1146902698",108,
,"1,6831398486",108,
,"3,7634531637",108,
,"3,2166806325",108,
,"2,8450054207",109,
,"2,1093318985",109,
,"3,9589856603",109,
